section,group_id,name,index,src,dst,w1,w2
EDGES,,,,龜茲,姑墨,,
EDGES,,,,姑墨,溫宿,,
EDGES,,,,溫宿,尉頭,,
EDGES,,,,溫宿,烏孫,,
EDGES,,,,尉頭,烏孫,,
EDGES,,,,烏孫,捐毒,,
EDGES,,,,捐毒,休循,,
EDGES,,,,鄯善,且末,,
EDGES,,,,且末,精絕,,
EDGES,,,,精絕,扜彌,,
EDGES,,,,扜彌,于闐,,
EDGES,,,,于闐,姑墨,,
EDGES,,,,于闐,皮山,,
EDGES,,,,皮山,莎車,,
EDGES,,,,莎車,疏勒,,
EDGES,,,,疏勒,姑墨,,
EDGES,,,,渠犁,尉犁,,
EDGES,,,,渠犁,都護治/烏壘,,
EDGES,,,,尉犁,都護治/烏壘,,
EDGES,,,,尉犁,焉耆,,
EDGES,,,,山,焉耆,,
EDGES,,,,都護治/烏壘,車師後,,
EDGES,,,,山,車師前,,
EDGES,,,,焉耆,狐胡,,
EDGES,,,,車師前,高昌壁,,
EDGES,,,,高昌壁,蒲類,,
EDGES,,,,高昌壁,車師後城長,,
EDGES,,,,蒲類,車師前,,
EDGES,,,,蒲類,蒲類後,,
EDGES,,,,車師前,狐胡,,
EDGES,,,,狐胡,東且彌,,
EDGES,,,,東且彌,西且彌,,
EDGES,,,,東且彌,劫,,
EDGES,,,,劫,卑陸,,
EDGES,,,,劫,卑陸後,,
EDGES,,,,卑陸,西且彌,,
EDGES,,,,卑陸,車師後,,
EDGES,,,,卑陸,郁立師,,
EDGES,,,,郁立師,車師後,,
EDGES,,,,車師後,車師後城長,,
EDGES,,,,西且彌,單桓,,
EDGES,,,,單桓,烏貪訾離,,
EDGES,,,,鄯善,山,,
DATA,,,,都護治/烏壘,龜茲,350,
DATA,,,,龜茲,姑墨,670,
DATA,,,,姑墨,溫宿,270,
DATA,,,,溫宿,尉頭,300,
DATA,,,,溫宿,烏孫,610,
DATA,,,,尉頭,烏孫,380,
DATA,,,,烏孫,捐毒,960,
DATA,,,,捐毒,休循,260,
DATA,,,,鄯善,且末,720,
DATA,,,,且末,精絕,600,
DATA,,,,精絕,扜彌,460,
DATA,,,,扜彌,于闐,390,
DATA,,,,于闐,姑墨,1520,
DATA,,,,于闐,皮山,380,
DATA,,,,皮山,莎車,380,
DATA,,,,莎車,疏勒,560,
DATA,,,,疏勒,姑墨,1200,
DATA,,,,渠犁,尉犁,50,
DATA,,,,渠犁,都護治/烏壘,330,
DATA,,,,尉犁,都護治/烏壘,300,
DATA,,,,尉犁,焉耆,100,
DATA,,,,山,焉耆,160,
DATA,,,,都護治/烏壘,車師後,1237,
DATA,,,,山,車師前,525,
DATA,,,,焉耆,狐胡,770,
DATA,,,,車師前,高昌壁,15,
DATA,,,,高昌壁,蒲類,235,
DATA,,,,高昌壁,車師後城長,500,
DATA,,,,蒲類,車師前,210,
DATA,,,,蒲類,蒲類後,270,
DATA,,,,車師前,狐胡,50,
DATA,,,,狐胡,東且彌,150,
DATA,,,,東且彌,西且彌,420,
DATA,,,,東且彌,劫,190,
DATA,,,,劫,卑陸,110,
DATA,,,,劫,卑陸後,140,
DATA,,,,卑陸,西且彌,200,
DATA,,,,卑陸,車師後,50,
DATA,,,,卑陸,郁立師,150,
DATA,,,,郁立師,車師後,120,
DATA,,,,車師後,車師後城長,55,
DATA,,,,西且彌,單桓,200,
DATA,,,,單桓,烏貪訾離,1460,
DATA,,,,鄯善,山,1365,
