alpha,beta,w_dis,w_dir,w_reg,spring_stiffness,directional_force,repulsion_strength,n_folds,n_seeds_per_fold,E_distance_stress_mean,E_distance_stress_std,E_direction_vr_mean,E_direction_vr_std,RMSE_anchor_mean_km,RMSE_anchor_std_km,is_pareto
-1.0,-1.0,1.0,0.1,0.1,1500.0,150.0,150.0,2,2,0.004763631753426584,7.887353849860262e-06,0.5283018867924528,0.028301886792452824,928.47799722985,34.436300777621625,True
-1.0,-0.5,1.0,0.1,0.31622776601683794,1500.0,150.0,474.3416490252569,2,2,0.005316255017801596,1.4491874109762593e-05,0.5047169811320755,0.08018867924528306,956.5394316253119,45.701662357822215,True
-0.5,-1.0,1.0,0.31622776601683794,0.1,1500.0,474.3416490252569,150.0,2,2,0.004754268994164568,1.2899347547642818e-05,0.5283018867924528,0.018867924528301883,934.088563260994,25.753741067228816,True
-0.5,-0.5,1.0,0.31622776601683794,0.31622776601683794,1500.0,474.3416490252569,474.3416490252569,2,2,0.0053434373460434495,3.780780195016247e-05,0.5141509433962264,0.080188679245283,953.6287765058767,46.826755532928985,True
0.0,-1.0,1.0,1.0,0.1,1500.0,1500.0,150.0,2,2,0.004813039197216019,5.041765614117967e-05,0.5330188679245284,0.05188679245283023,919.5762340582266,37.202399250701774,True
0.0,-0.5,1.0,1.0,0.31622776601683794,1500.0,1500.0,474.3416490252569,2,2,0.005398348887209489,0.00011437058665315046,0.5094339622641509,0.08490566037735847,933.5333132402116,40.35554851629337,True
0.5,-1.0,1.0,3.1622776601683795,0.1,1500.0,4743.416490252569,150.0,2,2,0.005013090226577468,0.00014230239034689627,0.5188679245283019,0.037735849056603765,908.6962863853828,12.355788089917553,True
1.0,-1.0,1.0,10.0,0.1,1500.0,15000.0,150.0,2,2,0.006409235661040088,0.0003164689048893044,0.42924528301886794,0.023584905660377353,869.4052066856287,48.14903978173675,True
1.5,-1.0,1.0,31.622776601683793,0.1,1500.0,47434.16490252569,150.0,2,2,0.010249133381322734,0.0007083051474025513,0.3679245283018868,0.0849056603773585,675.4813043247731,40.03182288350229,True
1.5,-0.5,1.0,31.622776601683793,0.31622776601683794,1500.0,47434.16490252569,474.3416490252569,2,2,0.009205205128756513,0.0006822158513194879,0.37264150943396224,0.061320754716981146,699.2255527951894,53.10911828909764,True
2.0,-1.0,1.0,100.0,0.1,1500.0,150000.0,150.0,2,2,0.012267901910384755,0.0037678719549997103,0.3443396226415094,0.08962264150943397,539.4836900618612,126.34215120671206,True
2.0,-0.5,1.0,100.0,0.31622776601683794,1500.0,150000.0,474.3416490252569,2,2,0.013647646836760619,0.00424412885034051,0.33962264150943394,0.06603773584905659,491.21567128355423,60.60526907678957,True
2.0,0.0,1.0,100.0,1.0,1500.0,150000.0,1500.0,2,2,0.01648395372347303,0.004281447871578598,0.28773584905660377,0.08018867924528303,428.19422172020046,52.13094872806511,True
2.0,1.0,1.0,100.0,10.0,1500.0,150000.0,15000.0,2,2,0.05849455302650929,0.002201528860323286,0.2358490566037736,0.05660377358490565,572.9323342216504,127.77284561477089,True
