alpha,beta,w_dis,w_dir,w_reg,fold_id,heldout_group,train_anchor_label,test_labels,seed,E_distance_stress,E_direction_vr,RMSE_anchor_km,wrong_dir_count,last_raw_stress_trace
-1.0,-1.0,1.0,0.1,0.1,0,0,龜茲,鄯善|于闐,0,0.004777574126489192,0.5094339622641509,938.0480765435736,27.0,25.125301280199736
-1.0,-1.0,1.0,0.1,0.1,0,0,龜茲,鄯善|于闐,1,0.004765464088063696,0.49056603773584906,987.7805194713694,26.0,25.1176490599904
-1.0,-1.0,1.0,0.1,0.1,1,1,鄯善,龜茲|車師前,0,0.004736963672001221,0.37735849056603776,852.7288880755739,20.0,25.060806903092598
-1.0,-1.0,1.0,0.1,0.1,1,1,鄯善,龜茲|車師前,1,0.004774525127152225,0.7358490566037735,935.3545048288826,39.0,25.20642427076319
-1.0,-0.5,1.0,0.1,0.31622776601683794,0,0,龜茲,鄯善|于闐,0,0.00525566631095639,0.41509433962264153,971.0564013799745,22.0,25.808242797936174
-1.0,-0.5,1.0,0.1,0.31622776601683794,0,0,龜茲,鄯善|于闐,1,0.005405827472866328,0.4339622641509434,1033.4257865862935,23.0,25.7001619902343
-1.0,-0.5,1.0,0.1,0.31622776601683794,1,1,鄯善,龜茲|車師前,0,0.005325202885227589,0.37735849056603776,871.5434883598725,20.0,25.457843894382513
-1.0,-0.5,1.0,0.1,0.31622776601683794,1,1,鄯善,龜茲|車師前,1,0.005278323402156077,0.7924528301886793,950.1320501751068,42.0,25.873705787996332
-1.0,0.0,1.0,0.1,1.0,0,0,龜茲,鄯善|于闐,0,0.00885394829465337,0.4528301886792453,1025.718713142372,24.0,28.12580348894572
-1.0,0.0,1.0,0.1,1.0,0,0,龜茲,鄯善|于闐,1,0.008912128193135891,0.33962264150943394,1092.8433509217843,18.0,28.714541259208026
-1.0,0.0,1.0,0.1,1.0,1,1,鄯善,龜茲|車師前,0,0.009264512541939995,0.37735849056603776,870.7339067292318,20.0,28.294407380722845
-1.0,0.0,1.0,0.1,1.0,1,1,鄯善,龜茲|車師前,1,0.009122761780938975,0.8113207547169812,1016.680706767502,43.0,28.846773040194623
-1.0,0.5,1.0,0.1,3.1622776601683795,0,0,龜茲,鄯善|于闐,0,0.021498706559752712,0.4528301886792453,1011.7558989779923,24.0,36.355039249277944
-1.0,0.5,1.0,0.1,3.1622776601683795,0,0,龜茲,鄯善|于闐,1,0.02118384120362061,0.37735849056603776,1094.6333885262738,20.0,38.14004021969005
-1.0,0.5,1.0,0.1,3.1622776601683795,1,1,鄯善,龜茲|車師前,0,0.022670671702118096,0.37735849056603776,893.879915129692,20.0,37.95081650146167
-1.0,0.5,1.0,0.1,3.1622776601683795,1,1,鄯善,龜茲|車師前,1,0.024627838906714154,0.6981132075471698,994.3376769666099,37.0,37.03536344658252
-1.0,1.0,1.0,0.1,10.0,0,0,龜茲,鄯善|于闐,0,0.0554307233980549,0.4339622641509434,973.6004100351571,23.0,70.39453428429377
-1.0,1.0,1.0,0.1,10.0,0,0,龜茲,鄯善|于闐,1,0.05562255363810516,0.4339622641509434,955.1351304164644,23.0,68.74559045474635
-1.0,1.0,1.0,0.1,10.0,1,1,鄯善,龜茲|車師前,0,0.05965532320999667,0.3584905660377358,897.520779788768,19.0,70.59999865880043
-1.0,1.0,1.0,0.1,10.0,1,1,鄯善,龜茲|車師前,1,0.0614873355438643,0.6037735849056604,996.6528061203192,32.0,73.14919560194943
-1.0,1.5,1.0,0.1,31.622776601683793,0,0,龜茲,鄯善|于闐,0,0.13621038938660543,0.49056603773584906,1099.8568373005648,26.0,228.9964999297074
-1.0,1.5,1.0,0.1,31.622776601683793,0,0,龜茲,鄯善|于闐,1,0.13435493704609144,0.4716981132075472,1096.090945574125,25.0,223.33461945439188
-1.0,1.5,1.0,0.1,31.622776601683793,1,1,鄯善,龜茲|車師前,0,0.145622894028497,0.20754716981132076,624.2817435919542,11.0,210.50796562543644
-1.0,1.5,1.0,0.1,31.622776601683793,1,1,鄯善,龜茲|車師前,1,0.14238561280142814,0.39622641509433965,984.8378974369633,21.0,211.77675834043472
-1.0,2.0,1.0,0.1,100.0,0,0,龜茲,鄯善|于闐,0,0.27977420544702064,0.5094339622641509,1212.9795640687187,27.0,1032.7498753646514
-1.0,2.0,1.0,0.1,100.0,0,0,龜茲,鄯善|于闐,1,0.27901814669467934,0.4716981132075472,1229.037874478689,25.0,907.3130971854866
-1.0,2.0,1.0,0.1,100.0,1,1,鄯善,龜茲|車師前,0,0.2861657612200575,0.22641509433962265,597.7345412403278,12.0,691.4950090286119
