alpha,beta,w_dis,w_dir,w_reg,fold_id,heldout_group,train_anchor_label,test_labels,n_seeds,E_distance_stress_mean,E_distance_stress_std,E_direction_vr_mean,E_direction_vr_std,RMSE_anchor_mean_km,RMSE_anchor_std_km
-1.0,-1.0,1.0,0.1,0.1,0,0,龜茲,鄯善|于闐,2,0.004771519107276444,6.055019212748182e-06,0.5,0.009433962264150941,962.9142980074715,24.866221463897887
-1.0,-1.0,1.0,0.1,0.1,1,1,鄯善,龜茲|車師前,2,0.004755744399576723,1.8780727575502375e-05,0.5566037735849056,0.17924528301886788,894.0416964522283,41.312808376654345
-1.0,-0.5,1.0,0.1,0.31622776601683794,0,0,龜茲,鄯善|于闐,2,0.005330746891911359,7.508058095496897e-05,0.42452830188679247,0.009433962264150941,1002.2410939831341,31.184692603159476
-1.0,-0.5,1.0,0.1,0.31622776601683794,1,1,鄯善,龜茲|車師前,2,0.005301763143691834,2.3439741535756075e-05,0.5849056603773586,0.20754716981132076,910.8377692674896,39.29428090761712
-1.0,0.0,1.0,0.1,1.0,0,0,龜茲,鄯善|于闐,2,0.00888303824389463,2.908994924126062e-05,0.39622641509433965,0.056603773584905676,1059.2810320320782,33.56231888970615
-1.0,0.0,1.0,0.1,1.0,1,1,鄯善,龜茲|車師前,2,0.009193637161439484,7.08753805005102e-05,0.5943396226415094,0.2169811320754717,943.7073067483668,72.97340001913511
-1.0,0.5,1.0,0.1,3.1622776601683795,0,0,龜茲,鄯善|于闐,2,0.021341273881686662,0.00015743267806605198,0.41509433962264153,0.037735849056603765,1053.194643752133,41.43874477414079
-1.0,0.5,1.0,0.1,3.1622776601683795,1,1,鄯善,龜茲|車師前,2,0.023649255304416125,0.000978583602298029,0.5377358490566038,0.160377358490566,944.1087960481509,50.22888091845897
-1.0,1.0,1.0,0.1,10.0,0,0,龜茲,鄯善|于闐,2,0.055526638518080026,9.591512002512723e-05,0.4339622641509434,0.0,964.3677702258108,9.232639809346324
-1.0,1.0,1.0,0.1,10.0,1,1,鄯善,龜茲|車師前,2,0.06057132937693048,0.0009160061669338145,0.4811320754716981,0.12264150943396226,947.0867929545436,49.56601316577559
-1.0,1.5,1.0,0.1,31.622776601683793,0,0,龜茲,鄯善|于闐,2,0.13528266321634844,0.0009277261702569928,0.4811320754716981,0.009433962264150941,1097.973891437345,1.882945863219902
-1.0,1.5,1.0,0.1,31.622776601683793,1,1,鄯善,龜茲|車師前,2,0.1440042534149626,0.0016186406135344361,0.30188679245283023,0.09433962264150944,804.5598205144588,180.27807692250457
-1.0,2.0,1.0,0.1,100.0,0,0,龜茲,鄯善|于闐,2,0.27939617607085,0.00037802937617065213,0.49056603773584906,0.018867924528301883,1221.0087192737037,8.029155204985159
-1.0,2.0,1.0,0.1,100.0,1,1,鄯善,龜茲|車師前,2,0.28769725120513046,0.0015314899850729369,0.2169811320754717,0.009433962264150941,590.5224725334965,7.212068706831246
