alpha,beta,w_dis,w_dir,w_reg,spring_stiffness,directional_force,repulsion_strength,n_folds,n_seeds_per_fold,E_distance_stress_mean,E_distance_stress_std,E_direction_vr_mean,E_direction_vr_std,RMSE_anchor_mean_km,RMSE_anchor_std_km,is_pareto
-1.0,-1.0,1.0,0.1,0.1,1500.0,150.0,150.0,2,2,0.004763631753426584,7.887353849860262e-06,0.5283018867924528,0.028301886792452824,928.47799722985,34.436300777621625,True
-1.0,-0.5,1.0,0.1,0.31622776601683794,1500.0,150.0,474.3416490252569,2,2,0.005316255017801596,1.4491874109762593e-05,0.5047169811320755,0.08018867924528306,956.5394316253119,45.701662357822215,True
-1.0,0.0,1.0,0.1,1.0,1500.0,150.0,1500.0,2,2,0.009038337702667057,0.0001552994587724274,0.49528301886792453,0.09905660377358488,1001.4941693902225,57.78686264185569,False
-1.0,0.5,1.0,0.1,3.1622776601683795,1500.0,150.0,4743.416490252569,2,2,0.022495264593051394,0.0011539907113647316,0.47641509433962265,0.06132075471698112,998.651719900142,54.54292385199108,False
-1.0,1.0,1.0,0.1,10.0,1500.0,150.0,15000.0,2,2,0.05804898394750525,0.0025223454294252268,0.45754716981132076,0.023584905660377353,955.7272815901772,8.640488635633574,False
-1.0,1.5,1.0,0.1,31.622776601683793,1500.0,150.0,47434.16490252569,2,2,0.1396434583156555,0.004360795099307077,0.3915094339622642,0.08962264150943394,951.2668559759019,146.70703546144307,False
-1.0,2.0,1.0,0.1,100.0,1500.0,150.0,150000.0,2,2,0.2835467136379902,0.004150537567140233,0.35377358490566035,0.13679245283018868,905.7655959036001,315.2431233701036,False
-0.5,-1.0,1.0,0.31622776601683794,0.1,1500.0,474.3416490252569,150.0,2,2,0.004754268994164568,1.2899347547642818e-05,0.5283018867924528,0.018867924528301883,934.088563260994,25.753741067228816,True
-0.5,-0.5,1.0,0.31622776601683794,0.31622776601683794,1500.0,474.3416490252569,474.3416490252569,2,2,0.0053434373460434495,3.780780195016247e-05,0.5141509433962264,0.080188679245283,953.6287765058767,46.826755532928985,True
-0.5,0.0,1.0,0.31622776601683794,1.0,1500.0,474.3416490252569,1500.0,2,2,0.00894171254586907,0.0001020091093172958,0.4905660377358491,0.09433962264150947,993.7953662160697,64.40120020609777,False
-0.5,0.5,1.0,0.31622776601683794,3.1622776601683795,1500.0,474.3416490252569,4743.416490252569,2,2,0.022531929192796098,0.0011794802267879115,0.47641509433962265,0.06132075471698112,1004.0810176309027,48.31386350575406,False
-0.5,1.0,1.0,0.31622776601683794,10.0,1500.0,474.3416490252569,15000.0,2,2,0.05777594099770375,0.0022662627270518196,0.45754716981132076,0.023584905660377353,954.0148209771683,8.977234904820534,False
-0.5,1.5,1.0,0.31622776601683794,31.622776601683793,1500.0,474.3416490252569,47434.16490252569,2,2,0.13960705248799482,0.004326180405936561,0.3915094339622642,0.08962264150943394,951.1443270193677,146.808278335021,False
-0.5,2.0,1.0,0.31622776601683794,100.0,1500.0,474.3416490252569,150000.0,2,2,0.2835456789802884,0.00415212363204287,0.35377358490566035,0.13679245283018868,905.7849995319019,315.3212668310549,False
0.0,-1.0,1.0,1.0,0.1,1500.0,1500.0,150.0,2,2,0.004813039197216019,5.041765614117967e-05,0.5330188679245284,0.05188679245283023,919.5762340582266,37.202399250701774,True
0.0,-0.5,1.0,1.0,0.31622776601683794,1500.0,1500.0,474.3416490252569,2,2,0.005398348887209489,0.00011437058665315046,0.5094339622641509,0.08490566037735847,933.5333132402116,40.35554851629337,True
0.0,0.0,1.0,1.0,1.0,1500.0,1500.0,1500.0,2,2,0.009163405588133139,0.0006193065951056106,0.4858490566037736,0.08962264150943394,992.8521416430651,68.43574218434975,False
0.0,0.5,1.0,1.0,3.1622776601683795,1500.0,1500.0,4743.416490252569,2,2,0.022035851917428302,0.00048127741932661207,0.4716981132075472,0.05660377358490565,1014.1593810389859,41.480353175632445,False
0.0,1.0,1.0,1.0,10.0,1500.0,1500.0,15000.0,2,2,0.05789077109313921,0.0024299323162563884,0.45754716981132076,0.023584905660377353,952.5111060933339,6.454051317694109,False
